PROJECT NUMBER,BUILDING ID,PROJECT DESCRIPTION,SCHOOL NAME,SCHOOL ADDRESS,SED APPROVED ESTIMATE,DATE APPLICATION SUBMITTED TO SED,BOROUGH,POSTCODE,LATITUDE,LONGITUDE,COMMUNITY BOARD,COUNCIL DISTRICT,CENSUS TRACT (2020),BIN,BBL,NTA (2020)
1FAF,K834,LEAD PAINT ABATEMENT,P.S. 418 - BROOKLYN,512 CARROLL STREET,105213,03/20/2023,BROOKLYN,11215,40.676668,-73.985258,306,39,11901,3007707,3004550001,BK0601
1FAG,M102,LEAD PAINT ABATEMENT,P.S. 102 - MANHATTAN,315 EAST 113 STREET,94779,03/20/2023,MANHATTAN,10029,40.794869,-73.938711,111,8,180,1081366,1016840101,MN1102
1FAH,M187,LEAD PAINT ABATEMENT,P.S. 187 - MANHATTAN,349 CABRINI BOULEVARD,92745,03/20/2023,MANHATTAN,10040,40.85674,-73.937056,112,10,273,1064371,1021790365,MN1202
1FAI,M188,LEAD PAINT ABATEMENT,P.S. 188 - MANHATTAN,442 EAST HOUSTON STREET,122308,03/20/2023,MANHATTAN,10009,40.719598,-73.977904,103,2,20,1004349,1003560100,MN0303
1FAJ,M480,LEAD PAINT ABATEMENT,TALENT UNLIMITED HS - MANHATTA,317 EAST 67 STREET,53437,03/20/2023,MANHATTAN,10065,40.765359,-73.960059,108,5,118,1083343,1014420001,MN0801
1FAK,Q133,LEAD PAINT ABATEMENT,P.S. 133 - QUEENS,248-05 86 AVENUE,52308,03/20/2023,QUEENS,11426,40.731729,-73.717859,413,23,157101,4175739,4086160001,QN1302
1FAL,R004,LEAD PAINT ABATEMENT,P.S. 4 - STATEN ISLAND,200 NEDRA LANE,50833,03/20/2023,STATEN IS,10312,40.552975,-74.194597,503,51,17013,5079499,5060250030,SI0303
1FAM,R044,LEAD PAINT ABATEMENT,P.S. 44 - STATEN ISLAND,80 MAPLE PARKWAY,73315,03/20/2023,STATEN IS,10303,40.63179,-74.156439,501,49,231,5027641,5012180001,SI0107
1FAN,X042,LEAD PAINT ABATEMENT,P.S. 42 - BRONX,1537 WASHINGTON AVENUE,283417,03/20/2023,BRONX,10457,40.838288,-73.902987,203,16,169,2009466,2029030023,BX0302
1FAO,X071,LEAD PAINT ABATEMENT,P.S. 71 - BRONX,3040 ROBERTS AVENUE,128833,03/20/2023,BRONX,10461,40.845787,-73.829829,210,13,26602,2046140,2041710001,BX1003
1FAP,K450,SECURITY CAMERA SYSTEM UPGRADE,"HS OF ENTERPRISE, BUS. & TECH.",850 GRAND STREET,800000,03/31/2023,BROOKLYN,11211,40.712184,-73.939722,301,34,485,3325733,3030160001,BK0104
1FAQ,M477,AIR CONDITIONING SPLIT SYSTEM,M226 SPED - MANHATTAN,345 CHAMBERS STREET,1654370,03/31/2023,MANHATTAN,10282,40.7177,-74.01399,101,1,31703,1084587,1000160215,MN0101
1FAR,K017,Auditorium Upgrade - replace and upgrade auditorium sound system and lighting.,P.S. 17 - BROOKLYN,208 NORTH 5 STREET,650000,03/31/2023,BROOKLYN,11211,40.715351,-73.956716,301,34,519,3062337,3023450001,BK0102
1FAT,X486,Leased Facility Improvements,3K CENTER @ 1450 PLIMPTON AVENUE - BRONX,1450 PLIMPTON AVENUE,3094215,03/31/2023,BRONX,10452,40.843998,-73.922008,204,16,21302,2129309,2028740027,BX0403
1FAU,M477,RECONSTRUCTION OF VENTILATION SYSTEM,STUYVESANT HS - MANHATTAN,345 CHAMBERS STREET,1548245,03/31/2023,MANHATTAN,10282,40.7177,-74.01399,101,1,31703,1084587,1000160215,MN0101
1FAV,M477,Building System Improvement - Installation of a Low-Voltage Electrical System,STUYVESANT HS - MANHATTAN,345 CHAMBERS STREET,8807261,03/31/2023,MANHATTAN,10282,40.7177,-74.01399,101,1,31703,1084587,1000160215,MN0101
1FAW,R006,Building Envelope Improvement - Reconstruction of Exterior Masonry,P.S. 6 - STATEN ISLAND,555 PAGE AVENUE,3232386,03/31/2023,STATEN IS,10307,40.510735,-74.231109,503,51,24401,5131697,5077600001,SI0305
1FAX,K370,Building System Improvement - Installation of a Low-Voltage Electrical System,K370 SPED - BROOKLYN,3000 WEST 1 STREET,1357215,03/31/2023,BROOKLYN,11224,40.57752,-73.969517,313,48,35602,3196587,3072740107,BK1302
1FAY,K490,Building System Improvement - Installation of a Low-Voltage Electrical System,FORT HAMILTON HS - K,8301 SHORE ROAD,3981973,03/31/2023,BROOKLYN,11209,40.627898,-74.039985,310,47,46,3152318,3060130001,BK1001
1FAZ,R121,New Schools,P.S. @ 24 SHELLEY AVENUE - STATEN ISLAND,24 SHELLEY AVENUE,52857974,03/31/2023,STATEN IS,10314,40.592379,-74.188029,502,50,29102,5041718,5026290001,SI0204
1FB0,X853,Building Envelope Improvement - Parapet Reconstruction,P.S. 59 - BRONX,2120 QUARRY ROAD,2925754,03/31/2023,BRONX,10457,40.851045,-73.893292,206,15,37504,2011852,2030620006,BX0602
1FB1,Q125,Indoor Building Improvement - Reconstruction and replacement of interior flooring,I.S. 125 - QUEENS,46-02 47 AVENUE,3622757,03/31/2023,QUEENS,11377,40.741131,-73.918945,402,26,23502,4052874,4022840006,QN0202
1FB2,X660,Asbestos  abatement,HIGH SCHOOL FOR ENERGY AND TEC,2474 CROTONA AVENUE,61883,03/31/2023,BRONX,10458,40.855698,-73.882715,206,15,393,2012887,2031040007,BX0603
1FB3,K464,Leased Facility Improvements,I.S. D75 SCHOOL @ 72ND STREET - BROOKLYN,1514 72 STREET,7941804,03/31/2023,BROOKLYN,11228,40.619061,-74.000753,311,38,190,3383724,3061910001,BK1101
1FB4,M488,Building Envelope Improvement - Parapet Reconstruction,P.S. 59 - MANHATTAN,231-249 EAST 56 STREET,3281250,03/31/2023,MANHATTAN,10022,40.759249,-73.967221,106,4,10803,1088892,1013300013,MN0604
