School_Year,OPT Code,Total Field Trips,Total Vehicles,Total Passengers,Unique Destinations
2022-2023,31685,3,3,18,3
2022-2023,27340,1,6,229,1
2022-2023,02934,1,2,82,1
2022-2023,24019,41,93,2907,13
2022-2023,19618,14,27,619,6
2022-2023,02494,4,11,408,4
2022-2023,15516,17,27,888,12
2022-2023,32456,5,38,796,4
2022-2023,03523,2,5,184,2
2022-2023,15726,26,53,1974,19
2022-2023,06390,19,25,773,9
2022-2023,01450,4,4,79,3
2022-2023,02527,1,1,2,1
2022-2023,03406,18,18,302,13
2022-2023,31730,4,9,302,4
2022-2023,26017,110,113,1143,10
2022-2023,26707,2,5,191,2
2022-2023,27014,2,4,103,2
2022-2023,29036,2,4,133,1
2022-2023,27155,14,27,786,3
2022-2023,10518,1,2,78,1
2022-2023,17002,6,19,763,5
2022-2023,01063,27,32,1140,16
2022-2023,01015,84,121,3434,13
2022-2023,24385,2,5,176,2
2022-2023,24125,4,19,776,4
2022-2023,30085,35,63,1959,12
2022-2023,19678,10,27,836,6
2022-2023,20102,57,90,2947,26
2022-2023,27123,12,20,616,5
2022-2023,12540,460,521,14674,14
2022-2023,25020,7,16,473,7
2022-2023,24539,4,12,476,4
2022-2023,01325,24,30,943,8
2022-2023,20160,8,20,682,4
2022-2023,10598,9,51,2050,7
2022-2023,28402,84,148,890,3
2022-2023,31055,28,73,2457,11
2022-2023,17445,32,32,379,5
2022-2023,22760,14,30,1028,11
2022-2023,20187,28,72,2508,13
2022-2023,01658,3,3,69,3
2022-2023,11194,9,40,1391,5
2022-2023,30150,22,44,1604,7
2022-2023,14147,13,27,938,11
2022-2023,02710,4,5,120,4
2022-2023,10374,2,3,115,2
2022-2023,29243,44,67,1747,9
2022-2023,17333,6,7,270,5
2022-2023,32383,17,48,1515,9
2022-2023,02158,36,52,1536,12
2022-2023,15131,10,25,901,10
2022-2023,21188,4,13,433,2
2022-2023,10206,13,19,408,9
2022-2023,22194,17,40,1408,12
2022-2023,28884,2,2,24,2
2022-2023,32145,8,21,624,6
2022-2023,15497,2,9,339,2
2022-2023,24421,57,87,2480,15
2022-2023,22119,30,43,1274,10
2022-2023,29355,12,28,959,9
2022-2023,12066,134,157,5170,17
2022-2023,09415,1,2,43,1
2022-2023,03829,1,1,39,1
2022-2023,16308,24,56,1671,18
2022-2023,01539,36,66,2323,18
2022-2023,30070,43,100,3347,19
2022-2023,28743,5,9,314,4
2022-2023,09505,2,4,123,2
2022-2023,03785,20,26,766,14
2022-2023,02776,14,26,809,11
2022-2023,17061,28,56,2003,13
2022-2023,31097,1,1,12,1
2022-2023,03852,4,10,325,4
2022-2023,05154,4,5,108,4
2022-2023,03075,14,31,985,8
2022-2023,12234,61,107,3275,7
2022-2023,21014,9,26,927,5
2022-2023,32554,5,29,1160,2
2022-2023,08131,21,49,1588,12
2022-2023,28487,4,4,41,4
2022-2023,07598,6,19,714,2
2022-2023,21861,28,29,824,15
2022-2023,11529,9,11,430,7
2022-2023,32291,1,1,28,1
2022-2023,31056,26,52,1808,12
2022-2023,24755,11,11,98,1
2022-2023,03455,6,14,376,4
2022-2023,08023,2,2,58,2
2022-2023,18727,7,18,635,6
