SchoolDBN,Total # Consented Students YTD,Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian or Pacific Islander,"Hispanic, of any race",Black or African American,Two or More Races,White,Missing Race/Ethnicity,IEP,LEP,Shelter,STH; Not Shelter,Total # Consents Withdrawn,Grade 01 1,Grade 02 1,Grade 03 1,Grade 04 1,Grade 05 1,Grade 06 1,Grade 07 1,Grade 08 1,Grade 09 1,Grade 10 1,Grade 11 1,Grade 12 1,American Indian or Alaska Native 1,Asian or Pacific Islander 1,"Hispanic, of any race 1",Black or African American 1,Two or More Races 1,White 1,Missing Race/Ethnicity 1,IEP 1,LEP 1,Shelter 1,STH; Not Shelter 1
02M407,270,,,,,,46,53,45,31,47,27,21,S,19,50,37,13,146,S,53,S,S,S,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M408,174,,,,,,12,10,12,31,47,34,28,S,17,31,21,S,89,8,36,S,S,S,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M411,297,,,,,,,,,64,69,92,72,S,76,57,18,T,130,S,54,S,,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,,S
02M412,171,,,,,,,,,52,37,46,36,S,25,19,S,14,103,S,47,,,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,,,S
02M413,370,,,,,,77,59,44,59,56,42,33,S,45,57,33,33,200,S,85,S,S,S,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M414,129,,,,,,,,,49,37,26,17,S,22,20,11,S,65,S,22,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M416,302,,,,,,,,,56,91,85,70,S,66,28,13,S,171,16,38,S,,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,,S
02M418,192,,,,,,,,,47,67,27,51,S,84,16,S,S,72,10,25,S,S,7,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M419,149,,,,,,,,,44,49,37,19,S,S,90,35,S,T,S,34,17,S,13,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M420,836,,,,,,,,,190,262,197,187,S,205,424,101,S,84,11,102,35,S,40,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M422,326,,,,,,65,38,46,45,38,48,46,S,33,131,77,T,66,S,90,7,12,19,S,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
08X377,6,,,,,,,,,S,S,S,S,S,S,S,S,,S,,S,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,,S,S,S,S
02M425,130,,,,,,,,,69,26,12,23,S,T,79,27,S,S,S,14,S,S,8,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M427,120,,,,,,,,,52,27,23,18,,S,105,S,,T,S,8,85,T,31,S,,,,,,,,,S,S,S,S,,,S,S,,S,S,S,S,S,S
02M432,93,,,,,,,,,36,30,15,12,S,13,43,26,S,6,S,22,S,S,6,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M437,20,,,,,,,,,8,6,S,S,S,S,S,10,,S,S,6,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,,S,S,S,S,S,S
02M438,169,,,,,,,,,53,43,44,29,,22,110,27,,S,S,S,147,T,33,S,,,,,,,,,S,S,S,S,,,S,S,,S,S,S,S,S,S
02M439,81,,,,,,,,,31,24,16,10,S,12,38,S,S,18,S,13,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M442,48,,,,S,16,10,S,9,,,,,S,7,12,S,S,19,,S,S,,S,S,,,,S,S,S,S,S,,,,,S,S,S,S,S,S,,S,S,,S
02M449,93,,,,,,,,,31,19,34,9,S,S,53,25,S,9,S,20,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M459,74,,,,,,,,,17,22,27,8,S,S,28,20,S,15,,S,64,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,,S,S,S,S
02M475,1029,,,,,,,,,327,268,254,180,S,675,35,S,57,245,S,12,S,S,10,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M489,259,,,,,,,,,66,73,67,53,S,59,128,49,S,19,S,47,12,8,21,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M500,58,,,,,,,,,17,20,12,9,S,14,29,9,S,S,S,10,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M507,329,,,,,,,,,75,87,79,88,S,T,206,66,S,33,S,83,17,S,24,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M519,386,,,,,,,,,81,83,98,124,S,T,181,87,T,62,T,43,S,S,T,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M520,27,,,,,,,,,11,12,S,S,S,S,S,13,S,S,S,S,S,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M527,291,57,57,64,52,61,,,,,,,,S,52,36,15,41,147,S,55,10,,T,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,,S
02M529,75,,,,,,,,,29,19,13,14,S,S,45,16,S,T,S,15,S,S,7,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M531,23,,,,,,,,,S,9,S,S,S,S,11,S,S,S,S,S,,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,,S,S
02M533,121,,,,,,,,,47,36,22,16,S,12,77,19,S,6,S,17,6,S,S,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M534,144,,,,,,,,,43,42,33,26,S,S,76,27,S,27,T,26,8,S,8,S,,,,,,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
02M542,442,,,,,,,,,122,T,T,T,,,438,S,S,,S,29,194,T,T,S,,,,,,,,,S,S,S,S,,,S,S,S,,S,S,S,S,S
